SPAN 1:	ARIES 1-15: 	THE SPAN OF REALIZATION 
93 (3°)	AN ARCTIC EXPLORER LEADS A REINDEER THROUGH ICY CANYONS	The pioneering, trail-blazing instinct urging man to get out beyond all things. Plunge into virgin possibilities of life.	When positive, the degree is unlimited self-reliance in and through every possible phase of self-expression, and when negative, self-imposed handicaps and a needless acceptance of everyday restrictions.
94 (4°)	A HUNGRY CAT ARGUES WITH A MOUSE, BEFORE EATING HER	The urge to self-justification through intellectual sophistry or social-ethical considerations. Sense of self-righteousness.	When positive, the degree is a gift for persuading others to accept the motives of self and to co-operate with its end, and when negative, interminable quarrelling with the nature of things.
95 (5°)	AUTOMOBILIST, RACING MADLY WITH A FAST TRAIN,IS KILLED	Individual man is brought to account for his obligations to society. Curbed recklessness. Tragic escape from emptiness.	When positive, the degree is a special genius for a creative reorganization of all experience, and when negative, an insensitive recklessness.
96 (6°)	INNUMERABLE BIRDS ARE BUSY FEATHERING THEIR NESTS	Instinctive preparation for mature and full expression of the self. Subconscious planning or dreaming of idle dreams.	When positive, the degree is high intelligence and skill in enlisting the potentials of experience for the service of self, and when negative, unnecessary concern over everyday security.
97 (7°)	IN A MOONLIT FAIRY GLADE TWO LITTLE ELVES ARE DANCING	Man's recognition of the elusive play of underlying forces in nature. Cooperation with the invisible. Unusual good luck.	When positive, the degree is a transforming sensitivity or a healing imagination, and when negative, a senseless retreat to make-believe.
98 (8°)	RABBITS IN FAULTLESS HUMAN ATTIRE PARADE WITH DIGNITY	Reaching out to participation in a higher order through imitative behaviour. Willingness to grow; also self-exploitation.	When positive, the degree is unlimited assurance in any projection of self into a superior dimension of reality, and when negative, an ingenuous substitution of affirmation for accomplishment.
99 (9°)	NAKED LITTLE MISS LEANS OVER A POND TO CATCH A GOLD FISH	First curiosity of being; innocent reaching out for understanding. Untiring eagerness. Unsocial or infantile cravings.	When positive, the degree is ingratiating and irresistible capacity for self-expression, and when negative, continual indiscretion as a bar to any appreciable achievement.
100 (10°)	A WONDERFUL DIAMOND IS BEING CUT TO A PERFECT SHAPE	Spiritual fulfilment or the acme of civilized being. Actualization of potentialities and outpressing of real selfhood.	When positive, the degree is an effective gift for dramatizing the potentialities of everything at hand, and when negative, a futile lean on purely static merit.
101 (11°)	A CLOWN CARICATURES MERRILY ALL KINDS OF HUMAN TRAITS	Sharp discrimination and understanding of human nature. The light touch of masterful living; self-control; or frivolity.	When positive, the degree is effective sharpening of an individual's dominant or everyday impact on others, and when negative, a loss of personal influence through aimless self-exploitation.
102 (12°)	A CHINESE WOMAN NURSING A BABY HALOED BY DIVINE LIGHT	The promise to all men that God may take birth within their souls. Personality integration. Illumination; or frustration.	When positive, the degree is a gift for bringing the more Godlike resources or superior powers of self to a point of real community service, and when negative, completely unreasonable demands for recognition.
103 (13°)	A HAND WITH PROMINENT THUMB IS HELD OUT RECEPTIVELY	Strong, active and self-certain will, or persistent yet blind plunging ahead into reality. Freedom from soft illusions.	When positive, the degree is exceptional steadiness and a high sense of self-responsibility in every issue of the moment, and when negative, unnecessary aggressiveness and a self-defeating short-sightedness.
104 (14°)	AN OLD MAN, ALONE, FACES THE DARKNESS IN THE NORTHEAST	Fearlessness; and noble, self-perpetuating strength arising from knowledge. Courage in the facing of spiritual problems.	When positive, the degree is a highly effective enlistment of deeper and hidden elements of life for some momentary end, and when negative, lack of purpose and utter chaos in understanding.
105 (15°)	MERRY AND SLUGGISH PEOPLE RESTING AFTER A HUGE FEAST 	 A turning to superficial things for self-strengthening. Self-indulgence in sensations. Unintelligent satiation; dullness.	When positive, the degree is an effective and smooth demonstration of human competence, and when negative, a self-disintegrating surrender to appetite.
SPAN 8:	CANCER 16-30: 	THE SPAN OF INGENUOUSNESS 
106 (16°)	A MAN HOLDS A SCROLL. BEFORE HIM, A SQUARE IS OUTLINED	Underlying tendency to revert to root patterns of being:" squaring" oneself with everyday reality. Control over life.	When positive, the degree is an absolute and personal control and organization of self for the purposes of each special situation, and when negative, self-limitation through unimaginative perspective.
107 (17°)	THE ARCHETYPAL SOUL BECOMES FILLED WITH LIFE-CONTENTS	Gathering of all life values and experiences in the perfectly formed consciousness. Spiritually integrated knowledge.	When positive, the degree is a completeness of personal realization and self-consummation in every context of immediate concern, and when negative, an assumption of self-integrity neither appreciated nor possessed.
108 (18°)	IN A CROWDED BARNYARD A HEN CLUCKS AMONG HER CHICKENS	Constructively practical, natural approach to life and its simpler joys. Concern over things. Child-like group devotion.	When positive, the degree is a marked capacity for meeting every demand of existence advantageously and with a persisting self-fulfillment, and when negative, idle bustle and unprofitable labour.
109 (19°)	AN ARISTOCRATIC AND FRAIL GIRL WEDS A PROLETARIAN YOUTH	Blending of the cultural fruition of the past with the impetuousness of new blood. Assimilation of unconscious contents.	When positive, the degree is a genius for bringing various facets of life into organic unity, and when negative, bondage to outer form.
110 (20°)	A GROUP OF SERENADERS MAKE MERRY IN A VENETIAN GONDOLA	Exaltation of social intercourse in the traditional manner. Sentimental clinging to old life-ideals. The will to romance.	When positive, the degree is a perfecting of those personal traits and inclinations which bring an enduring satisfaction to every immediate situation, and when negative, a retreat of self from all worth-while reality.
111 (21°)	AN OPERATIC PRIMA DONNA SINGS TO A GLITTERING AUDIENCE	Elevation and popularization of human values through art as a social factor. Supreme realization of the life-ambition.	When positive, the degree is an overflowing richness of self through its full command of its own deep and genuine potentials, and when negative, superficial self-affirmation and unseemly display.
112 (22°)	A YOUNG WOMAN DREAMILY AWAITS A SAILBOAT APPROACHING 	 longing to live life as a great adventure. The compelling power of all sustained desire and of the dreaming of dreams.	When positive, the degree is a sure insight into the meaning of chance events and the current drift of circumstance, and when negative, senseless dependence on accidents of fortune.
113 (23°)	A GROUP OF INTELLECTUAL INDIVIDUALS MEET FOR DISCUSSION	Interchange of ideas among any elite as a basis for the cultural development of the whole. Mental or physical fellowship.	When positive, the degree is accomplishment through an exacting appreciation of common effort and a rigorous revaluation of private acts and attitudes, and when negative, a substitution of idle discussion for actual participation in reality.
114 (24°)	WOMAN AND TWO MEN CASTAWAYS ON A SOUTH SEAS ISLAND	The three "souls" in man-factional, emotional, mental -"exiled" in the body. Potential fulfillment. Sense of being lost in life.	When positive, the degree is an unusual gift for organizing and exploiting the self's potentials, and when negative, a devastating sense of ineptitude and estrangement from reality.
115 (25°)	LEADER OF MEN WRAPPED IN AN INVISIBLE MANTLE OF POWER	Support of unconscious elements in every fearless and positive stand of the ego. Restoration of strength; or self-discovery.	When positive, the degree is some dramatic manifestation of genius vital to the general welfare of man, and when negative, a tendency to unwarranted presumption if not outright megalomania.
116 (26°)	GUESTS ARE READING IN THE LIBRARY OF A LUXURIOUS HOME	Emergence of consciousness upon higher levels of being, once life has been fulfilled at normal levels. Conscious fruition.	When positive, the degree is a relaxation valuable for the momentary containment of human aspiration whenever it is strained beyond its powers of self-regeneration, and when negative, the loss of all reality in a needless softness of living.
117 (27°)	A FURIOUS STORM RAGES THROUGH A RESIDENTIAL CANYON	Intensification of elements necessary to arouse latent possibilities. Rising to the occasion. A descent of cosmic power.	When positive, the degree is an enlistment of every resource in life for a heightened expression of self, and when negative, fatuous enjoyment of turmoil. 
118 (28°)	INDIAN GIRL INTRODUCES COLLEGE BOY-FRIEND TO HER TRIBE	The human soul as intercessor between primordial natural forces and the intellectual order. Self-integration. Linkage.	When positive, the degree is high skill in bringing older or neglected reality to the service of fresher and more vital self-fulfillments, and when negative, an inability to make personal adjustments and a stupid exaltation of conservatism.
119 (29°)	A GREEK MUSE WEIGHS IN GOLDEN SCALES JUST BORN TWINS	The revelation of latent worth in all things through the power of creative imagination. Piercing beyond appearances.	When positive, the degree is an effectiveness of judgment irrespective of momentary contradictions on every hand, and when negative, an undisciplined perfectionism.
120 (30°)	A LADY OF ARISTOCRATIC DESCENT PROUDLY ADDRESSES A CLUB	The will and ability to maintain a social supremacy based on thoroughly established tradition. Inner or outer aristocracy.	When positive, the degree is an infectious pride in leadership through which a group is able to act as a unit, and when negative, the ultimate betrayal of selfhood by a false assumption of superiority.	 
SPAN 9:	LEO 1-15: 	THE SPAN OF ASSURANCE 
121 (1°)	UNDER EMOTIONAL STRESS BLOOD RUSHES TO A MAN'S HEAD 	A basic symbol of Man: forceful, dangerous entrance into the Soul realm. Irresistible outpouring of self. Activity per se.	When positive, the degree is creativity in the day-by-day expression of the self's real possibilities, and when negative, thoroughgoing self-indulgence and imposition on others.
122 (2°)	THE SCHOOL CLOSED BY AN EPIDEMIC, CHILDREN PLAY TOGETHER	Constructive result of inconveniences of life in developing communal values. Self-sensitiveness. Subtraction from things.	When positive, the degree is continual self-dramatization as the basis for participation in current affairs, and when negative, retreat to self-deficiencies in a frantic effort to avoid experience.
123 (3°)	MATURE WOMAN, HER HAIR JUST BOBBED, LOOKS INTO MIRROR	Sense of freedom from age and realization of the value of youth. Self-creation and independence from fate. Will-power.	When positive, the degree is exceptionally effective self-mobilization for the sake of personal ambition, and when negative, wholly inadequate appreciation for the self and its destiny.
124 (4°)	ELDERLY MAN GAZES AT MOOSE HEAD ON CLUBROOM'S WALL	Self-development through the culture of masculine activities. Subservience of individual to social pattern of behaviour. Taste.	When positive, the degree is exceptional capacity for winning and holding the esteem of men, and when negative, dependence on applause and a playing to the gallery to get it.
125 (5°)	SUGGESTING FIGURES,GRANITE MASSES OVERHANG A CANYON	Permanence of basic elements in nature underneath temporary changes and emphases.Endurance. Steadiness of self-knowledge.	When positive, the degree is man's genius for initial aplomb and ultimate competency in the face of all danger, and when negative, pure bullheadedness.
126 (6°)	OLD-FASHIONED BELLE AND FLAPPER ADMIRE EACH OTHER	Realization of changeless subjective worth beyond changing appearances. Interchange of sympathy. Enhanced self-awareness.	When positive, the degree is personal achievement through a creative appreciation and adaptation of the values established by others, and when negative, overemphasis of individualistic traits and a psychological timidity.
127 (7°)	THE CONSTELLATIONS GLOW IN THE DARKNESS OF DESERT SKIES	Sense of primordial wonder and awe before life. Unquenchable faith in a spiritual being complementing our own. Realization.	When positive, the degree is consistent effectiveness in understanding and self-ordering, and when negative, a loss of all present integrity through an unnecessary retreat to the remote or mysterious.
128 (8°)	PROLETARIAN, BURNING WITH SOCIAL PASSION, STIRS UP A CROWD	Leavening of the inchoate materials of a new order by a forceful vision born of repression and misfortune. Revolution.	When positive, the degree is a determination to share the soul's vision and to make a permanent impact on history, and when negative, futile ranting against a multitude of superficial ills
129 (9°)	GLASS-BLOWERS SHAPE WITH THEIR BREATH GLOWING FORMS	The formative power of the soul in moments of emotional intensity. Controlled self-expression. Art as a spiritual fact.	When positive, the degree is an effectiveness of personal participation in everyday existence, and when negative, wilful or unintelligent distortion of reality.
130 (10°)	EARLY MORNING DEW SPARKLES AS THE SUN FLOODS THE FIELDS	Freshness of spontaneous response to life and emotions. Uplifting lightness in experience; or else superficial glamour.	When positive, the degree is a special talent for finding the better in every situation where a worse may threaten disaster, and when negative, procrastination and total insensibility to the real powers of selfhood.
131 (11°)	CHILDREN PLAY BENEATH HUGE OAK, SHELTER FROM THE SUN	The sustaining and protective power of ancestral background against emotions. Appreciation of inborn cultural restraint.	When positive, the degree is a consistent zest for every possible phase of living and a real generosity of self-expenditure, and when negative, laziness exalted as a virtue.
132 (12°)	A GARDEN PARTY IS IN FULL SWING UNDER JAPANESE LANTERNS	Easy intercourse of human souls in moments of relaxation from strain. Examination of, or self-loss in social values.	When positive, the degree is a genuine social maturity and a effective capacity for working with others, and when negative, a lack of all appreciation for the underlying reality of life itself.
133 (13°)	OLD SEA-CAPTAIN RESTS IN NEAT LITTLE COTTAGE BY THE SEA	Reward of growth from outer to inner realms. Serenity through the overcoming of storms. Self-gained mellowness. Retirement.	When positive, the degree in each person's unlimited capacity for calling up afresh the powers he has gained in his struggle toward self-fulfillment, and when negative, insensibility to present reality in a full surrender to the past.
134 (14°)	CHERUB-LIKE, A HUMAN SOUL WHISPERS, SEEKING TO MANIFEST	The desire to be, to suffer and to grow which brings Spirit to Earth. Whole-souled self-giving. Yearning for experience.	When positive, the degree is a genius for an absolute wholeheartedness of participation in the everyday adventures of personality, and when negative, naive procrastination and a lack of all genuine interest or enthusiasm.
135 (15°)	THE MARDI GRAS CARNIVAL CROWDS NEW ORLEANS' STREETS	Spectacular, dramatic release of subconscious energies. Self-exaltation for social approval. Self-indulgence and license.	When positive, the degree is an irresistible heightening of self-significance across the whole face of experience, and when negative, unconvincing claims and embarrassing self-assertion.
SPAN 10:	LEO 16-30:	THE SPAN OF INTERPRETATION 
136 (16°)	REFRESHED BY A STORM, FIELDS AND GARDENS BASK IN THE SUN 	A return to values after a major life-crisis. Cleansing power of suffering overcome. Mastery of strain-or indifference.	When positive, the degree is exceptional steadiness of perspective and fidelity to individual responsibility, and when negative, continual upset over petty issues.
137 (17°)	VOLUNTEER CHURCH CHOIR MAKE SOCIAL EVENT OF REHEARSAL	Utilization of normal human instincts as a foundation to high endeavour. Lay- participation in Mysteries. Joy in faith.	When positive, the degree is the effective quickening of man's heart through interests which have been expanded to a point of real concern for his fellows, and when negative, unimaginative striving for undeserved popularity.
138 (18°)	CHEMIST CONDUCTS AN EXPERIMENT BEFORE HIS STUDENTS	Practical application of principles to ordinary life. Active enlightenment; or forced awakening to inner potentialities.	When positive, the degree is exceptional self-confidence and a delight in subjecting all experience to the test of immediate application, and when negative, unintelligent dependence on supposition or rules of the book.
139 (19°)	A BARGE MADE INTO A CLUBHOUSE IS CROWDED WITH REVELERS	The transforming powers of pure joy over routine existence. Human fellowship in the effort to make life happier, freer.	When positive, the degree is a gracious eagerness of participation in the more worthwhile or enduring aspects of human affairs, and when negative, thoughtless self-indulgence and contempt for the general welfare.
140 (20°)	AMERICAN INDIANS PERFORM A MAJESTIC RITUAL TO THE SUN	Man's instinctive or traditional call upon basic life-energies for sustainment. Sense of fitness in behaviour. Worship.	When positive, the degree is an inner and absolute realization of the self's illimitable resources in situation and background, and when negative, a surrender of all personal reality to meaningless ceremonies.
141 (21°)	INTOXICATED DOMESTIC BIRDS FLY AROUND IN DIZZY ATTEMPTS	Unsteady first realization of spiritual being. Forced inspiration which the ego cannot sustain. False self-intoxication.	When positive, the degree is the individual's capacity for a creative self-mobilization which will enable him to rise to the needs of every possible situation, and when negative, unnecessary bondage to externals.
142 (22°)	A CARRIER-PIGEON ALIGHTS AT DAWN BEFORE HIS OWNERS	The return of the soul-energies to the central Self after a significant experience. Adventuring. Practical enlightenment.	When positive, the degree is a complete mastery of all things through the normal processes of thought, and when negative, a lack of simple good sense.
143 (23°)	THE BAREBACK RIDER IN A CIRCUS THRILLS EXCITED CROWDS	The supremacy given to the man who has mastered his senses and his emotions. Full utilization of inner powers. Audacity.	When positive, the degree is uncompromising courage in the everyday business of living and a carefree assurance in meeting the problems of a modern society, and when negative, idle self-display and intemperate desire for applause.
144 (24°)	A YOGI,WITH TRANSCENDENT POWERS YET UNTIDY, UNKEMPT	Spiritual emphasis at the expense of outer refinement. Interior focalization of energies. Self-abnegation. Character.	When positive, the degree is an ease of outer accomplishment thanks to the inner intensification and increasing sensibility, and when negative, perverse satisfaction in a neglect of self.
145 (25°)	A MAN, ALONE, DARINGLY CROSSES THE DESERT ON CAMELBACK	Superiority of knowledge and will over hostile nature. Mental self-control. Spiritual strength in facing past Karma.	When positive, the degree is uncompromising persistence and uncomplaining self-expenditure in any course to be followed, and when negative, ruthlessness in an unintelligent self-interest.
26°	AS LIGHT BREAKS THROUGH CLOUDS, A PERFECT RAINBOW FORMS.	Promise of conscious immortality after the death of useless things. Spiritual linkage through emotional stress. Blessing.
27°	IN THE EAST, LIGHT SLOWLY INCREASES, WIPING OUT THE STARS.	Transforming power of creative impulses as they bring ideas to concrete manifestation. Stirring to opportunity. Soul-power.
28°	MYRIADS OF BIRDS, PERCHED UPON A BIG TREE, CHIRP HAPPILY.	Social nature of experience as man finds sustainment in a larger whole of being. Normal, collective self-expression.
29°	MERMAID AWAITS PRINCE WHO WILL MAKE HER IMMORTAL.	Pure longing for a new order of selfhood. Critical point in "emer­gent evolution." Perspective; or a sense of incompetence.
30°	AN UNSEALED LETTER FULL OF VITAL AND CONFIDENTIAL NEWS.	Basic faith in the goodness of all life. Unthinking trust in, or desire to see to the bottom of all things. Confidence.
SPAN 11:	VIRGO 1-15: 	THE SPAN OF IDEALIZATION
1° 	IN A PORTRAIT THE BEST OF A MAN'S TRAITS ARE IDEALIZED.	The shaping power of idea or ideal over outer form and behavior. Completeness of realization. Pure aggrandizement. Intent.
2° 	A LARGE WHITE CROSS STANDS ALONE ON TOP OF A HIGH HILL.	Dominance of environment through individualistic self-realization. Eminence at the cost of struggle. Full self-assurance.
3° 	TWO ANGELS BRING PROTECTION TO FAMILY IN THE WILDERNESS.	Divine guarantee to man of supply of all his needs. Divine help when human efforts fail. Unconscious sense of strength.
4° 	NEGRO CHILD PLAYS WITH WHITE BOYS UNAWARE OF RACE LINE.	Underlying fellowship of all life underneath social creeds. Stim­ulating sense of distinctness. Rising above contrasts.
5° 	IRISHMAN DREAMS OF "LITTLE PEOPLE" BENEATH A TREE.	Constructive imagination as it reveals unconscious realms of be­ing. Creative fantasy. Contact with inner life-energies.
6° 	EXCITED CHILDREN RIDE ON A BLATANT, GAUDY MERRY-GO-ROUND.	The culture of pleasure as a transmuting force. Unfearing plunge into life. Endless and futile repetition of experience.
7° 	IN A PALATIAL HAREM BRIGHT-EYED WOMEN LAUGH HAPPILY.	Early stage of development of individual soul, with full yet bind­ing life-protection. Freedom from responsibility or restraint.
8°	ARISTOCRATIC FIVE-YEAR-OLD GIRL TAKES FIRST DANCING LESSON.	Early social conditioning of the superior elements of being. Proper start in self-discipline. Conventional development.
9°	A MODERN EXPRESSIONISTIC ARTIST PAINTS A STRANGE CANVAS.	Original genius of every individual soul unconcerned with collective values. Absolute, tradition-less self-expression.
10°	A MAN WITH TWO HEADS IS SEEN LOOKING OUT TO THE BEYOND.	Consciousness functioning in inner and outer realms. Compe­tence in understanding. Over-sensitiveness to life-currents.
11°	A TYPICAL BOY, YET MOULDED BY HIS MOTHER'S ASPIRATIONS.	Efficacy of overtones in life; of ideals in giving reality or depth to outer material things. Conformity to inner light.
12° 	A BRIDE, LAUGHING, SCOLDS THE GROOM WHO LIFTED HER VEIL.	Disclosure of the hidden fruitions of nature to him who dares and who loves. Full appreciation of life. Penetration.
13°	A POWERFUL STATESMAN WINS TO HIS CAUSE A HYSTERICAL MOB.	Power of personality as incarnation of subconscious race ideals. Sublimation of motives. Transmutation of energies.
14°	A SPLENDID FAMILY TREE ENGRAVED ON A SHEET OF PARCHMENT.	Importance of ancestral background in an accomplishments. Power to experience deeply. Cultural sensitiveness. Heritage.
15°	OLD LACE HANDKERCHIEF; SOME RARE PERFUME; A MIRROR.	Ultimate fineness of material values shading into the spiritual. Schooled and aristocratic delicacy. Cultured restraint.
SPAN 12:	VIRGO 16-30: 	THE SPAN OF EXPERIMENTATION
16°	CHILDREN CROWD AROUND THE ORANG-OUTANG CAGE IN THE ZOO.	The lesson which the very old can give to the very young in all realms. Vicarious experience. Inertia of instincts. Poise.
17°	A VOLCANIC ERUPTION RELEASES POWERFUL TELLURIC ENERGIES.	Irresistible out-bursting of pent-up impulses. creatively or regen­eratively. Breaking up of "complexes." Will to wholeness.
18° 	TWO EXCITED YOUNG GIRLS EXPERIMENT WITH A OUIJA BOARD.	Human desire for contact with the beyond. Inquiry. Restless ques­tioning of superficial facts of being. Immature curiosity.
19° 	A SWIMMING RACE NEARS COMPLETION BEFORE A LARGE CROWD.	Social sustainment of individual accomplishment. Encouragement. Competition as a means to create group-consciousness.
20° 	A GROUP OF SETILERS START ON THEIR JOURNEY IN OLD CARS.	Rising to achievement in spite of an inadequate equipment. Joying in meeting life's challenges. Venturing with faith.
21° 	TWO TEAMS OF GIRLS ENGAGED IN A CONTEST OF BASKETBALL.	Physical wholesomeness as prelude to inner integration. Self-evaluation, or refusal to face self. The rhythm of instincts.
22° 	A JEWEL-SET ROYAL COAT-OF-ARMS IS DISPLAYED IN A MUSEUM.	Preservation of ancient race values for healthy veneration by youthful individuals. Certification of merit. Aristocracy.
23° 	A LION-TAMER RUSHES FEARLESSLY INTO THE CIRCUS ARENA.	Readiness to face the aroused energies of one's nature and test one's moral strength. Faith in self. Valor and mastery.
24° 	A BOOK FOR CHILDREN PICTURES LITILE MARY AND HER LAMB.	Freshness of viewpoint uninhibited by social intellectual preoccupations. Vibrant simplicity. Spirit-born imagination.
25° 	A FLAG AT HALF-MAST IN FRONT OF LARGE PUBLIC BUILDING.	The ability to carry a task through to consummate completion. Deference to past achievement. Cultivation of public spirit.
26° 	RAPT-EYED, A BOY SERVES IN A MASS READ BY AUTOMATONS.	Ability to find inspiration itll daily routine. Hope arising in the midst of all deadness of heart. Rejuvenation of spirit.
27° 	ELDERLY LADIES DRINKING AFTERNOON TEA IN A WEALTHY HOME	Preservation of social and cultural values. Inward, unobtrusive superiority, or else pure smugness. Prestige of position.
28° 	BALD-HEADED MAN DOMINATES GATHERING OF NATIONAL FIGURES.	Driving power of real personality in moments of crisis. Capacity for hard work. Compelling manifestation of inner self.
29° 	ARCHAIC MANUSCRIPT DISCLOSES TO SCHOLAR THE OLD MYSTERIES.	The understanding which is built on patient steady work and persisting aspiration. Fecundative power of ancient wisdom.
30° 	AN EMERGENCY CALL FREES HOUSEHOLDER FROM ROUTINE DUTY.	Joy of enlisting in a task which broadens the life-horizon. Willing rising to the occasion, or escape from narrow destiny.
SPAN 13:	LIBRA 1-15: 	THE SPAN OF EXPECTATION
1° 	PIERCED BY A DART OF LIGHT A BUTTERFLY IS "MADE PERFECT".	The symbolical death that is initiation into spiritual reality and wisdom. Sudden awakening. Coming for inner light.
2° 	A SYMPHONY IS PLAYED DRAMATIZING MAN'S HEROIC ASCENT.	Inspiration through creative identification with the large sweep of cycles. Spiritual expansion. Renewed encouragement.
3° 	A NEW DAY DAWNS, REVEALING A WORLD UTTERLY TRANS­FORMED.	Transforming power of periods of silence and darkness, which lead to stirring revelations. Real touch with cosmic process.
4° 	PILGRIMS GATHER ROUND CAMP-FIRE, IN SILENT COMMUNION.	Fellowship of higher ideals that sustains the individuals on their arduous path to Reality. Mellow participation in life.
5° 	INSPIRED DISCIPLES LISTEN TO THE WORDS OF THEIR TEACHER.	Knowledge and experience put to the test. Greatness calling its own to itself. Ordered seeking. Distrust of appearances.
6° 	IN A TRANCE, A PILGRIM BEHOLDS HIS IDEALS MADE CONCRETE.	Inevitable confrontation with the concrete results of one's ideals. Lessons to be learned from it. Willingness of heart.
7° 	WITCH FEEDS CHICKENS FRIGHTENED BY A HAWK SHE HAD TAMED.	Control of natural forces by the higher intelligence. Taming the strong, uplifting the weak. Transmutation through service.
8° 	A FIREPLACE BLAZES MYSTERIOUSLY IN A DESERTED FARMHOUSE.	Constant presence of unseen, sustaining agencies in every worth. while activity. Great depth ot initial effort. Providence.
9°	THREE "OLD MASTERS" HANG ALONE IN AN ART GALLERY.	Efficient cohesion of the three "souls" of man; of mind, feeling and instinct. Integrated wisdom. Sagacious behavior.
10° 	A CANOE LEAVING NARROW RAPIDS REACHES CALM WATERS.	The reward of all sincere and daring outreaching of self in life. A sure Destiny. Reliance upon skill and circumstances.
11° 	KINDLY OLD PROFESSOR IS TEACHING A CLASS OF YOUNGSTERS.	Cooperation of genuinely superior agencies with beings less evolved. Glad willingness to assist and protect. Kindliness.
12° 	MINERS ARE EMERGING FROM A DEEP WELL INTO THE SUNLIGHT.	Depth of participation in the world's work. Whole-souled giving of self to service; or inability to bring self to effort.
13° 	CHILDREN ARE BLOWING SOAP-BUBBLES AT A YOUNGSTERS' PARTY.	Healthy stimulation through play and joy of human intercourse. Creative fantasy; spinning of idle dreams. Relaxation.
14° 	RICH LAND-OWNER TAKES A SIESTA IN HIS TROPICAL GARDENS.	Proper adjustment to the rhythm of nature. Faith in the ordered scheme of things; injudicious dependence upon others.
15° 	A STACK OF MACHINERY PARTS; ALL ARE NEW AND ALL CIRCULAR.	Perfect and effortless participation in the universal order. Smooth approach to self-expression; inert self-satisfaction.
SPAN 14:	LIBRA 16-30: 	THE SPAN OF REVELATION
16° 	A HAPPY CREW IS RESTORING BEACH PIERS WRECKED BY STORMS.	Constructive results of apparently destructive forces; stimulation to new accomplishment. Glad response to needed work.
17° 	RETIRED SEA-CAPTAIN IN UNIFORM WATCHES SHIPS SAIL AWAY.	Vicarious or mellow participation in life. Transfer of activity from physical to mental; or self-involvement in the past.
18° 	TWO MEN PLACED UNDER ARREST ARE BEING BROUGHT TO COURT.	Responsibility of individual to society in terms of normal behavior. Return to values. Obligation to face objective facts.
19° 	ROBBERS ARE HIDING, READY TO ATTACK HEAVILY ARMED CARAVAN.	Protest against the perpetuation of unearned social privileges and wealth. Repudiation of bondage. Challenge to custom.
20° 	OLD RABBI SITS CONTENTEDLY IN ROOM CROWDED WITH BOOKS.	Interest in permanent rather than transient values. Accumulation of ancient wisdom brought to-use. Competent service.
21° 	HOT SUNDAY CROWDS DELIGHT IN THE COOL SEA BREEZE.	Fundamental popularity of natural values. Communion in objects of real and universally recognized worth. Association.
22° 	CHILD LAUGHS AS BIRDS PERCH ON AN OLD FOUNTAIN, AND DRINK.	Intuitive understanding of simple souls in spiritual matters. Youthful life-enjoyment. Fresh grasp of the soul's needs.
23° 	CHANTICLEER SALUTES THE RISING SUN WITH EXUBERANT TONES.	Capacity for self-refreshment at the inner sources of ever-reviewed life. Anticipation of opportunity. Security in Self.
24° 	A BUTTERFLY SPREADS ITS WINGS, SHOWING AN EXTRA LEFT ONE.	Potentiality of new forms and opportunities in every life. Instinc­tive expansion of self; or submergence in the not-self.
25° 	FALLING GOLDEN LEAF TEACHES LIFE TO REBELLIOUS SCHOOLBOY.	Discovery of deeper elements of wisdom after intellectual knowl­edge wearies. Growth through awareness of basic meanings.
26° 	AN EAGLE AND A WHITE DOVE CHANGE SWIFTLY INTO EACH OTHER.	Necessary cooperation between mind, will, spirit-and heart, love. Power of psychological balance and compensation. Unity.
27° 	A SPOT OF LIGHT IN CLEAR SKIES, AN AEROPLANE SAILS CALMLY.	Dwelling above the normal stress of existence. Superior mental vision. Calm objective observation; quiet inner strength.
28° 	A MAN IN DEEP GLOOM. UNNOTICED, ANGELS COME TO HIS HELP.	Spiritual sustainment given to him who opens himself to his full destiny. Slow realization of betterment. Unsolicited help.
29° 	VAST MASSES OF MEN PUSH FORWARD REACHING FOR KNOWLEDGE.	Intense desire to overcome the blind life of passion and to uplift others. Intellectual vision. Tense mental outreaching.
30° 	A PHRENOLOGIST DISCOVERS MOUNDS OF KNOWLEDGE ON A HEAD.	Ability to read spiritual meanings in concrete objects. Objectivica­tion of abstract truths. Cleverness in understanding.
SPAN  15:	SCORPIO 1-15: 	THE SPAN OF RETENTION
1° 	SIGHT-SEERS IN A BUS STRAIN TO SEE CROWDS AND BUILDINGS.	The perspective which leisure gives to everyday affairs. Appetite for larger things. Seeing life as whole. Social Intercourse.
2° 	FROM A BROKEN BOTTLE TRACES OF PERFUME STILL EMANATE.	The fine scent of deeds well done as it persists in the memory of men. Stimulating recollection. Spiritual immortality.
3° 	HAPPY HOUSE-RAISING PARTY AMONG WESTERN PIONEERS.	The constructive sharing of experience which builds social values. Interchange of efforts. Necessity to learn cooperation.
4° 	YOUTH CARRIES A LIT CANDLE IN HIS FIRST CHURCH SERVICE.	Beginning of spiritual participation in the world's work. Sustained inspiration. Conscious linkage to inner realities.
5° 	A MASSIVE ROCKY SHORE UNCHANGED BY CENTURIES OF STORMS.	Revelation of absolutely stable elements in all life. Strong con­fidence born of fundamental perception; or spiritual inertia.
6° 	CALIFORNIAN HILLS: THE "GOLD RUSH" SHATTERS THEM PEACE.	The passionate quest for universal values, destructive of cultural ease of living. Leaping to opportunity. Avid seeking.
